Record ID,Code,Common Name,Scientific Name,Category,Available Sizes,Sun,Water,Spacing,Mature Height,Mature Spread,Landscape Use,Growing Condition,Overview Description,Planting Notes,Tags,Image Path / URL,Plant Link
bam-014,BBm,Bayog,Bambusa merrilliana,Bamboo,Seedlings | pc/s; 100 cm | pc/s; 200 cm | pc/s; 300 cm | pc/s,,,,,,,,,,,assets/images/bam-014.webp,
bam-002,BGa,Black Bamboo,Gigantochloa atroviolacea,Bamboo,Seedlings | pc/s; 50 cm | pc/s; 100 cm | pc/s; 200 cm | pc/s,,,,,,,,,,,assets/images/bam-002.webp,
bam-013,BSl,Buho,Schizostachyum lumampao,Bamboo,Seedlings | pc/s; 100 cm | pc/s; 200 cm | pc/s; 3000.0 | pc/s,,,,,,,,,,,assets/images/bam-013.webp,
bam-003,CBv,Chinese Bamboo,Bambusa vulgaris,Bamboo,Seedlings | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/bam-003.webp,
bam-010,IGa,Iron Bamboo,Guadua angustifolia Kunth,Bamboo,Seedlings | pc/s; 50 cm | pc/s; 100 cm | pc/s; 200 cm | pc/s,,,,,,,,,,,assets/images/bam-010.webp,
bam-015,LNa,Long Pipe Bamboo,Neololeba atra,Bamboo,Seedlings | pc/s; 100 cm | pc/s; 200 cm | pc/s; 300 cm | pc/s,,,,,,,,,,,assets/images/bam-015.webp,
bam-011,LBa,Longpipe Bamboo,Bambusa atra Lindley,Bamboo,Seedlings | pc/s; 100 cm | pc/s; 200 cm | pc/s; 300 cm | pc/s,,,,,,,,,,,assets/images/bam-011.webp,
bam-009,MBw,Muscle Bamboo,Bambusa wamin,Bamboo,Seedlings | pc/s; 100 cm | pc/s; 200 cm | pc/s; 250 cm | pc/s,,,,,,,,,,,assets/images/bam-009.webp,
bam-001,PTs,Pole Bamboo,Thyrsostachys siamensis,Bamboo,Seedlings | pc/s; 75 cm | pc/s; 150 cm | pc/s; 200 cm | pc/s,,,,,,,,,,,assets/images/bam-001.webp,
bam-005,SPt,Shiroshima Bamboo,× Phyllosasa tranquillans 'Shiroshima',Bamboo,Seedlings | pc/s; 75 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/bam-005.webp,
bam-004,TBd,Thai Bamboo,Bambusa dolichomerithalla,Bamboo,Seedlings | pc/s; 100 cm | pc/s; 150 cm | pc/s; 250 cm | pc/s,,,,,,,,,,,assets/images/bam-004.webp,
bam-012,VBm-02,Variegated Bamboo,Bambusa multiplex 'Variegata',Bamboo,Seedlings | pc/s; 20 cm | pc/s; 30 cm | pc/s; 40 cm | pc/s,,,,,,,,,,,assets/images/bam-012.webp,
bam-006,VBm-01,Variegated Bamboo,Bambusa multiplex,Bamboo,Seedlings | pc/s; 50 cm | pc/s; 150 cm | pc/s; 200 cm | pc/s,,,,,,,,,,,assets/images/bam-006.webp,
bam-008,YBv-02,Yellow Bamboo,Bambusa vulgaris,Bamboo,Seedlings | pc/s; 100 cm | pc/s; 200 cm | pc/s; 300 cm | pc/s,,,,,,,,,,,assets/images/bam-008.webp,
bam-007,YBv-01,Yellow Buho,Bambusa vulgaris,Bamboo,Seedlings | pc/s; 50 cm | pc/s; 150 cm | pc/s; 200 cm | pc/s,,,,,,,,,,,assets/images/bam-007.webp,
clf-023,BAm,Bird's Nest Fern,Asplenium musifolium,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s,,,,,,,,,,,assets/images/clf-023.webp,
clf-004,BLs-01,Bleeding Heart,Lamprocapnos spectabilis,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/clf-004.webp,
clf-014,BCt,Blue Ternate,Clitoria ternatea,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s,,,,,,,,,,,assets/images/clf-014.webp,
clf-002,BBs,Bogambilya,Bougainvillea spectabilis,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/clf-002.webp,
clf-010,BSf,Bridal Bouquet,Stephanotis floribunda,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 75 cm | pc/s,,,,,,,,,,,assets/images/clf-010.webp,
clf-005,CMl,Chilean Jasmine,Mandevilla laxa,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/clf-005.webp,
clf-016,CAn,Cobra Fern,Asplenium nidus 'Cobra',Climbers & Ferns,50 cm | pc/s; 100 cm | pc/s,,,,,,,,,,,assets/images/clf-016.webp,
clf-021,CNf,Cross Ferns,Nephrolepis falcata,Climbers & Ferns,30 cm (single) | pc/s; 30 cm (mutiple) | pc/s; 40 cm (single) | pc/s; 40 cm (mutiple) | pc/s,,,,,,,,,,,assets/images/clf-021.webp,
clf-018,FCm-01,Fern Tree,Cyathea medullaris,Climbers & Ferns,100 cm | pc/s; 200 cm | pc/s; 300 cm | pc/s,,,,,,,,,,,assets/images/clf-018.webp,
clf-006,GMa,Garlic Vine,Mansoa alliacea,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/clf-006.webp,
clf-017,GAe,Giant Ferns,Angiopteris evecta,Climbers & Ferns,100 cm | pc/s; 200 cm | pc/s,,,,,,,,,,,assets/images/clf-017.webp,
clf-020,MNb,Macho Fern,Nephrolepis biserrata,Climbers & Ferns,30 cm (single) | pc/s; 30 cm (mutiple) | pc/s,,,,,,,,,,,assets/images/clf-020.webp,
clf-011,MCv,Millionaire Vine,Cissus verticillata,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s,,,,,,,,,,,assets/images/clf-011.webp,
clf-013,PPe-01,Passion Fruit,Passiflora edulis,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s,,,,,,,,,,,assets/images/clf-013.webp,
clf-022,PNp,Peruvian Fern,Nephrolepis pendula,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s,,,,,,,,,,,assets/images/clf-022.webp,
clf-015,PAb,Purple Allamanda,Allamanda blanchetii,Climbers & Ferns,50 cm | pc/s; 75 cm | pc/s; 100 cm | pc/s,,,,,,,,,,,assets/images/clf-015.webp,
clf-001,RCi,Rangoon Creeper,Combretum indicum,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/clf-001.webp,
clf-019,SNc,Sampalok Fern,Nephrolepis cordifolia,Climbers & Ferns,30 cm (single) | pc/s; 30 cm (mutiple) | pc/s,,,,,,,,,,,assets/images/clf-019.webp,
clf-009,SPv,Sandpaper Vine,Petrea volubilis,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s,,,,,,,,,,,assets/images/clf-009.webp,
clf-008,STe,Singaporean Vine,Tarlmounia elliptica,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/clf-008.webp,
clf-012,TTg,Thunbergia Purple,Thunbergia grandiflora,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/clf-012.webp,
clf-007,WTg,White Thunbergia Vine,Thunbergia grandiflora 'Alba',Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/clf-007.webp,
clf-003,YAc,Yellow Bell,Allamanda cathartica,Climbers & Ferns,30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/clf-003.webp,
cay-009,AFf,Agave Green,Furcraea foetida,"Cycads, Agaves & Yuccas",30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 200 cm | pc/s,,,,,,,,,,,assets/images/cay-009.webp,
cay-008,AAa,Agave Magie,Agave attenuata,"Cycads, Agaves & Yuccas",30 cm | pc/s; 50 cm | pc/s; 70 cm | pc/s; 100 cm | pc/s,,,,,,,,,,,assets/images/cay-008.webp,
cay-012,BAt,Blue Agave,Agave tequilana,"Cycads, Agaves & Yuccas",300 cm | pc/s,,,,,,,,,,,assets/images/cay-012.webp,
cay-005,CCd,Chinese Fern Cycad,Cycas debaoensis,"Cycads, Agaves & Yuccas",150 cm | pc/s,,,,,,,,,,,assets/images/cay-005.webp,
cay-001,DDe,Dioon edule,Dioon edule,"Cycads, Agaves & Yuccas",30 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 1500 cm | pc/s,,,,,,,,,,,assets/images/cay-001.webp,
cay-014,GYg,Green Yucca,Yucca gloriosa,"Cycads, Agaves & Yuccas",100 cm | pc/s; 150 cm | pc/s; 200 cm | pc/s; 250 cm | pc/s,,,,,,,,,,,assets/images/cay-014.webp,
cay-004,MEf,Maputaland Cycad,Encephalartos ferox,"Cycads, Agaves & Yuccas",500 cm | pc/s,,,,,,,,,,,assets/images/cay-004.webp,
cay-002,PCc,Pitogo,Cycas curranii,"Cycads, Agaves & Yuccas",100 cm | pc/s; 150 cm | pc/s; 200 cm | pc/s; 2500 cm | pc/s,,,,,,,,,,,assets/images/cay-002.webp,
cay-015,PBr,Ponytail Palm,Beaucarnea recurvata,"Cycads, Agaves & Yuccas",,,,,,,,,,,,,
cay-003,SCr,Sago Palm,Cycas revoluta,"Cycads, Agaves & Yuccas",50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s; 200 cm | pc/s,,,,,,,,,,,assets/images/cay-003.webp,
cay-013,SYg,Silver Yucca,Yucca gigantea,"Cycads, Agaves & Yuccas",50 cm | pc/s; 100 cm | pc/s; 200 cm | pc/s; 250 cm | pc/s,,,,,,,,,,,assets/images/cay-013.webp,
cay-006,TAg,Twin-flowered Agave,Agave geminiflora,"Cycads, Agaves & Yuccas",10 cm | pc/s; 20 cm | pc/s; 30 cm | pc/s; 40 cm | pc/s,,,,,,,,,,,assets/images/cay-006.webp,
cay-007,VAa,Variegated Century Plant,Agave americana 'Marginata',"Cycads, Agaves & Yuccas",20 cm | pc/s; 30 cm | pc/s; 40 cm | pc/s; 75 cm | pc/s,,,,,,,,,,,assets/images/cay-007.webp,
cay-011,VFs,Variegated Furcraea,Furcraea selloa,"Cycads, Agaves & Yuccas",50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s; 200 cm | pc/s,,,,,,,,,,,assets/images/cay-011.webp,
cay-010,VFf,Variegated Mauritius Hemp,Furcraea foetida 'Variegata',"Cycads, Agaves & Yuccas",20 cm | pc/s; 50 cm | pc/s; 100 cm | pc/s; 150 cm | pc/s,,,,,,,,,,,assets/images/cay-010.webp,
ggc-001,BCd,Bermuda Grass,Cynodon dactylon,Grasses & Groundcovers,1 sq ft | pc/s; 1 sq m | pc/s,,,,,,,,,,,assets/images/ggc-001.webp,
ggc-003,BPp,Blue Grass,Poa pratensis,Grasses & Groundcovers,1 sq ft | pc/s; 1 sq m | pc/s,,,,,,,,,,,,
ggc-015,BTs-01,Boat of Moses,Tradescantia spathacea,Grasses & Groundcovers,30 cm (single) | pc/s; 30 cm (multiple) | pc/s,,,,,,,,,,,assets/images/ggc-015.webp,
ggc-002,CPc,Carabao Grass,Paspalum conjugatum,Grasses & Groundcovers,1 sq ft | pc/s; 1 sq m | pc/s,,,,,,,,,,,assets/images/ggc-002.webp,
ggc-004,FAc,Frog Grass,Axonopus compressus,Grasses & Groundcovers,1 sq ft | pc/s; 1 sq m | pc/s,,,,,,,,,,,assets/images/ggc-004.webp,
ggc-010,KOj,Kyoto Grass,Ophiopogon japonicus 'Kyoto Dwarf',Grasses & Groundcovers,30 cm (single) | pc/s; 30 cm (multiple) | pc/s,,,,,,,,,,,assets/images/ggc-010.webp,
ggc-005,MZm,Manila Grass,Zoysia matrella,Grasses & Groundcovers,1 sq ft | pc/s; 1 sq m | pc/s,,,,,,,,,,,assets/images/ggc-005.webp,
ggc-014,MOj,Mondo grass,Ophiopogon japonicus,Grasses & Groundcovers,30 cm (single) | pc/s; 30 cm (multiple) | pc/s,,,,,,,,,,,assets/images/ggc-014.webp,
ggc-009,OOj-01,Ophiopogon grass Green,Ophiopogon japonicus,Grasses & Groundcovers,30 cm (single) | pc/s; 30 cm (multiple) | pc/s,,,,,,,,,,,assets/images/ggc-009.webp,
ggc-011,OOj-02,Ophiopogon grass White,Ophiopogon japonicus 'Vittatus',Grasses & Groundcovers,30 cm (single) | pc/s; 30 cm (multiple) | pc/s,,,,,,,,,,,assets/images/ggc-011.webp,
ggc-006,PAp,Peanut Grass,Arachis pintoi,Grasses & Groundcovers,30 cm | pc/s,,,,,,,,,,,assets/images/ggc-006.webp,
ggc-008,PPn,Pilea,Pilea nummulariifolia,Grasses & Groundcovers,30 cm | pc/s,,,,,,,,,,,assets/images/ggc-008.webp,
ggc-012,SDt,Silver Wall,Dianella tasmanica 'Silver Streak',Grasses & Groundcovers,30 cm (single) | pc/s; 30 cm (multiple) | pc/s,,,,,,,,,,,assets/images/ggc-012.webp,
